"canonicalId","family","tradition","archetype","strongSourceCount","anySourceCount","sourcePages"
"CAN-158","Latin America","Peru / Argentina / Uruguay","Landó","2","3","PDF-6e48001c173e:31; PDF-73cfc4ffc14c:63; PDF-d9d0cc68c73f:62"
"CAN-159","Latin America","Peru / Argentina / Uruguay","Chacarera","0","0",""
"CAN-160","Latin America","Peru / Argentina / Uruguay","Zamba Argentina","0","0",""
"CAN-161","Latin America","Peru / Argentina / Uruguay","Candombe Uruguayo","0","0",""
"CAN-162","Latin America","Peru / Argentina / Uruguay","Tango","4","7","PDF-73cfc4ffc14c:7|61; PDF-d9d0cc68c73f:6|60; PDF-f97e3e83bf02:89; PDF-09d278110e3e:77|78; PDF-a5bdd4a6ddc2:2; PDF-595703bb31c1:19; PDF-e584c291e034:6"
"CAN-163","Latin America","Peru / Argentina / Uruguay","Milonga","0","0",""
"CAN-164","Caribbean","Dominican Republic / Puerto Rico","Merengue","3","5","PDF-6e48001c173e:2|3|5|10|30|31|32|33|35|37|71; PDF-73cfc4ffc14c:4|5|8|55|56|60|61|62|64|65; PDF-d9d0cc68c73f:3|4|7|54|55|59|60|61|63|64; PDF-3187600027fe:3|28; PDF-595703bb31c1:24"
"CAN-165","Caribbean","Dominican Republic / Puerto Rico","Bachata","0","0",""
"CAN-166","Caribbean","Dominican Republic / Puerto Rico","Bomba Drum-Set","0","0",""
"CAN-167","Caribbean","Dominican Republic / Puerto Rico","Plena Drum-Set","0","0",""
"CAN-168","Caribbean","Trinidad & Lesser Antilles","Calypso","7","9","PDF-92d5ddbcbf60:21; PDF-73cfc4ffc14c:5|6|29; PDF-d9d0cc68c73f:4|5|28; PDF-2fdfcd6bd899:20; PDF-6b862dc919a1:3|93; PDF-3187600027fe:3|19|20; PDF-39ddc4b77dca:12; PDF-595703bb31c1:21|24|35; PDF-e584c291e034:2"
"CAN-169","Caribbean","Trinidad & Lesser Antilles","Soca","1","2","PDF-3187600027fe:3|19|20; PDF-3ecc64b85be9:5"
"CAN-170","Caribbean","Trinidad & Lesser Antilles","Kompa","0","0",""
"CAN-171","Caribbean","Trinidad & Lesser Antilles","Zouk","0","0",""
"CAN-172","Caribbean","Trinidad & Lesser Antilles","Biguine / Beguine","0","0",""
"CAN-173","Africa","West Africa","Afrobeat","0","0",""
"CAN-174","Africa","West Africa","Highlife","0","1","PDF-9f544947c841:21"
"CAN-175","Africa","West Africa","Kpanlogo Drum-Set","0","0",""
"CAN-176","Africa","West Africa","Ewe 12/8 / Agbekor Adaptation","0","0",""
"CAN-177","Africa","West Africa","Fanga Drum-Set Adaptation","0","0",""
"CAN-178","Africa","West Africa","Mbalax","0","0",""
